transaction_id,date,store_id,region,city,channel,vendor,basket_id,basket_size,payment_type,product_id,sku,category,quantity,promo_flag,promo_discount_pct,temp_c,is_weekend,product_name,beverage_type,package,size_ml,caffeine_mg,sugar_g,is_sugar_free,is_alcoholic_flag,unit_price,unit_cost,inventory_received_qty,wastage_qty,net_unit_price,sales,cogs,margin
T1399855-27,2024-10-16,S0002,South,Charlotte,InStore,RegionalFoods,1399855,9,Debit,V00186,SKU-V00186-GEPU,Beverages,5,0,0,10.3,0,Cold Brew,Tea,Bottle,591,96,0,1,0,5.48,3.82,13,0,5.48,27.4,19.1,8.3
T1475721-28,2024-10-27,S0078,North,Minneapolis,InStore,RegionalFoods,1475721,3,MobilePay,V00159,SKU-V00159-4PK7,Beverages,3,0,0,10.9,1,Kombucha,Water,Bottle,1500,46,41,0,0,6.32,3.5,15,0,6.32,18.96,10.5,8.46
T1003398-29,2024-03-02,S0065,West,San Jose,InStore,NationalSupply,1003398,8,Cash,V00010,SKU-V00010-BJF9,Beverages,3,0,0,5.4,1,Cola,Water,Bottle,330,55,49,0,0,1.21,0.83,15,0,1.21,3.63,2.49,1.14
T1940024-30,2024-04-27,S0118,West,Las Vegas,Online,VendorA,1940024,6,Credit,V00250,SKU-V00104-09L2,Beverages,4,0,0,-5.0,1,Juice,Water,Can,500,78,19,0,0,5.6,3.32,21,0,5.6,22.4,13.28,9.12
T1969731-31,2024-06-05,S0023,West,San Diego,Delivery,VendorD,1969731,12,Credit,V00113,SKU-V00113-8R2D,Beverages,4,0,0,-5.3,0,Sports Drink,Water,Bottle,473,0,19,0,0,8.23,6.0,8,0,8.23,32.92,24.0,8.92
T1307214-32,2024-01-22,S0103,East,Baltimore,InStore,LocalCoop,1307214,7,Debit,V00237,SKU-V00237-P1Q5,Beverages,3,0,0,-6.7,0,Sparkling Water,Coffee,Multi-pack,1000,0,39,0,0,3.84,2.1,18,0,3.84,11.52,6.3,5.22
T1722525-33,2024-03-23,S0038,East,Philadelphia,Pickup,LocalCoop,1722525,7,Credit,V00177,SKU-V00177-H5SR,Beverages,4,1,20,10.5,1,Tonic Water,Sports,Can,355,43,0,1,0,3.82,2.42,17,0,3.06,12.24,9.68,2.56
T1885851-34,2024-03-01,S0030,South,Houston,InStore,VendorD,1885851,3,Credit,V00071,SKU-V00071-FHE1,Beverages,2,0,0,16.0,0,Energy Drink,Tea,Can,500,0,0,1,0,7.06,3.57,11,1,7.06,14.12,7.14,6.98
T1105230-35,2024-05-25,S0061,North,Minneapolis,InStore,RegionalFoods,1105230,12,Credit,V00259,SKU-V00259-KWV8,Beverages,4,1,20,-4.0,1,Cold Brew,Functional,Bottle,330,34,34,0,0,,3.33,16,0,4.42,17.68,13.32,4.36
T1634413-36,2024-06-18,S0071,North,Chicago,Online,VendorC,1634413,6,GiftCard,V00031,SKU-V00031-A3US,Beverages,2,1,5,9.5,0,Energy Drink,Coffee,Carton,1000,0,49,0,0,2.97,1.51,13,0,2.82,5.64,3.02,2.62
T1538403-37,2024-07-27,S0014,West,Los Angeles,InStore,VendorC,1538403,8,Debit,V00243,SKU-V00243-8AK3,Beverages,1,0,0,13.8,1,Tonic Water,Soda,Bottle,1000,30,47,0,0,7.15,5.1,5,0,7.15,7.15,5.1,2.05
T1321100-38,2024-04-02,S0080,East,Boston,InStore,RegionalFoods,1321100,2,Credit,V00171,SKU-V00171-CV2Y,Beverages,3,1,20,10.6,0,Sports Drink,Soda,Multi-pack,2000,0,0,1,0,5.08,3.68,14,0,4.06,12.18,11.04,1.14
T1374074-39,2024-03-24,S0120,North,Columbus,InStore,VendorD,1374074,7,Debit,V00215,SKU-V00215-V77O,Beverages,3,0,0,14.5,1,Energy Drink,Coffee,Bottle,330,77,42,0,0,2.44,1.68,13,0,2.44,7.32,5.04,2.28
T1147493-40,2024-11-21,S0103,West,San Diego,InStore,VendorB,1147493,6,Debit,V00099,SKU-V00099-RHPN,Beverages,3,1,10,10.3,0,Iced Tea,Soda,Can,1000,24,35,0,0,5.71,2.88,16,0,5.14,15.42,8.64,6.78
T1496204-41,2024-04-28,S0037,North,Detroit,InStore,VendorB,1496204,3,Credit,V00044,SKU-V00044-ADFN,Beverages,2,0,0,0.5,1,Lemonade,Soda,Bottle,500,88,21,0,0,6.39,3.98,19,0,6.39,12.78,7.96,4.82
T1330613-42,2024-09-17,S0079,South,Houston,Pickup,VendorC,1330613,7,Credit,V00057,SKU-V00057-PK2R,Beverages,3,1,10,8.7,0,Cola,Water,Bottle,330,71,3,0,0,5.15,3.67,23,0,4.64,13.92,11.01,2.91
T1889241-43,2024-07-27,S0108,South,Orlando,Online,LocalCoop,1889241,4,Cash,V00242,SKU-V00242-3XLU,Beverages,2,0,0,12.7,1,Iced Tea,Soda,Multi-pack,473,71,0,1,0,1.85,1.1,19,0,1.85,3.7,2.2,1.5
T1205447-44,2024-04-26,S0012,West,San Jose,Online,LocalCoop,1205447,7,Credit,V00006,SKU-V00006-UO1N,Beverages,2,0,0,9.0,0,Cola,Coffee,Bottle,355,20,0,1,0,1.91,1.21,13,0,1.91,3.82,2.42,1.4
T1176540-45,2024-01-30,S0033,North,Chicago,Online,LocalCoop,1176540,10,MobilePay,V00055,SKU-V00055-VAG4,Beverages,4,1,5,3.2,0,Still Water,Juice,Can,355,65,29,0,0,7.37,4.21,13,0,7.0,28.0,16.84,11.16
T1543903-46,2024-08-30,S0054,Central,Kansas City,InStore,VendorA,1543903,3,Credit,V00053,SKU-V00053-QFCR,Beverages,4,0,0,28.6,0,Cold Brew,Juice,Carton,500,0,14,0,0,5.68,3.22,9,0,5.68,22.72,12.88,9.84
T1665924-47,2024-01-08,S0114,West,San Diego,InStore,VendorB,1665924,4,Cash,V00137,SKU-V00137-MMEB,Beverages,2,1,5,22.8,0,Orange Soda,Water,Can,591,73,0,1,0,1.38,0.82,25,0,1.31,2.62,1.64,0.98
T1988298-48,2024-11-26,S0046,South,Atlanta,InStore,RegionalFoods,1988298,4,MobilePay,V00015,SKU-V00015-DXMK,Beverages,2,1,15,15.9,0,Still Water,Soda,Carton,500,136,38,0,0,2.2,1.59,13,0,1.87,3.74,3.18,0.56
T1510395-49,2024-07-01,S0052,North,Detroit,InStore,VendorB,1510395,8,Credit,V00130,SKU-V00130-FGVZ,Beverages,3,0,0,5.4,0,Kombucha,Coffee,Can,591,20,23,0,0,9.75,5.11,13,0,9.75,29.25,15.33,13.92
T1350709-50,2024-09-24,S0046,East,Pittsburgh,Pickup,LocalCoop,1350709,8,Debit,V00253,SKU-V00253-MNNZ,Beverages,1,0,0,16.7,0,Iced Tea,Water,Bottle,591,79,0,1,0,2.58,1.63,14,0,2.58,2.58,1.63,0.95
T1666052-51,2024-11-21,S0055,North,Chicago,InStore,VendorC,1666052,6,Debit,V00136,SKU-V00136-ZDNS,Beverages,5,0,0,18.8,0,Orange Soda,Soda,Can,355,63,16,0,0,8.15,5.66,19,1,8.15,40.75,28.3,12.45
T1433603-52,2024-07-11,S0015,South,Orlando,InStore,VendorD,1433603,6,Credit,V00048,SKU-V00048-7OI3,Beverages,4,1,15,-2.3,0,Ginger Ale,Soda,Bottle,591,88,54,0,0,3.24,2.46,12,0,2.75,11.0,9.84,1.16
T1388909-53,2024-12-21,S0052,Central,Cleveland,InStore,VendorB,1388909,8,Credit,V00078,SKU-V00078-G2W7,Beverages,2,0,0,12.4,1,Lemonade,Tea,Can,500,30,34,0,0,2.2,1.49,14,0,2.2,4.4,2.98,1.42
T1959041-54,2024-08-28,S0038,South,Dallas,InStore,VendorC,1959041,3,Debit,V00238,SKU-V00238-EMVO,Beverages,3,0,0,-6.9,0,Energy Drink,Water,Bottle,750,94,39,0,0,3.01,1.57,12,0,3.01,9.03,4.71,4.32
T1658832-55,2024-12-23,S0006,South,Atlanta,Pickup,VendorC,1658832,7,MobilePay,V00047, sku-v00047-6olz ,Beverages,4,1,15,33.1,0,Lemonade,Water,Bottle,330,115,21,0,0,2.85,1.69,19,0,2.42,9.68,6.76,2.92
T1582962-56,2024-01-22,S0089,East,Boston,Online,VendorD,1582962,9,Credit,V00044,SKU-V00044-ADFN,Beverages,6,1,20,27.4,0,Latte Bottle,Energy,Bottle,500,58,60,0,0,5.66,4.05,14,0,4.53,27.18,24.3,2.88
T1707410-57,2024-05-30,S0089,East,Philadelphia,InStore,VendorB,1707410,5,Debit,V00226,SKU-V00052-JUNT,Beverages,3,0,0,14.8,0,Sports Drink,Coffee,Can,355,21,18,0,0,2.57,1.4,14,0,2.57,7.71,4.2,3.51
T1294066-58,2024-07-05,S0117,Central,St. Louis,InStore,VendorD,1294066,7,MobilePay,V00071,SKU-V00071-FHE1,Beverages,3,0,0,13.5,0,Tonic Water,Soda,Can,330,98,6,0,0,7.43,5.56,14,1,7.43,22.29,16.68,5.61
T1499686-59,2024-05-07,S0048,South,Charlotte,Delivery,NationalSupply,1499686,6,GiftCard,V00213,SKU-V00213-XS6O,Beverages,1,0,0,6.2,0,Cold Brew,Water,Bottle,355,86,33,0,0,1.25,0.75,11,0,1.25,1.25,0.75,0.5
T1542315-60,2024-09-25,S0100,Central,Nashville,InStore,VendorC,1542315,7,GiftCard,V00004,SKU-V00004-D4X7,Beverages,2,0,0,4.1,0,Juice,Water,Bottle,1500,92,74,0,0,7.39,5.31,15,0,7.39,14.78,10.62,4.16
T1854441-61,2024-10-06,S0083,North,Detroit,InStore,NationalSupply,1854441,8,Credit,V00141,SKU-V00141-FEOM,Beverages,8,0,0,23.4,1,Cola,Water,Multi-pack,591,65,32,0,0,6.29,3.5,25,2,6.29,50.32,28.0,22.32
T1321514-62,2024-08-06,S0077,Central,Kansas City,Delivery,RegionalFoods,1321514,7,MobilePay,V00006,SKU-V00006-UO1N,Beverages,5,0,0,1.8,0,Cold Brew,Soda,Can,750,15,6,0,0,8.01,5.29,20,0,8.01,40.05,26.45,13.6
T1541244-63,2024-10-18,S0093,Central,Denver,InStore,VendorD,1541244,3,MobilePay,V00102,SKU-V00171-CV2Y,Beverages,2,0,0,7.4,0,Iced Tea,Coffee,Bottle,1000,147,0,1,0,10.24,6.71,11,0,10.24,20.48,13.42,7.06
T1982876-64,2024-01-20,S0106,Central,Kansas City,Online,LocalCoop,1982876,8,Credit,V00014,SKU-V00039-OQ11,Beverages,3,1,25,24.8,1,Sports Drink,Juice,Bottle,330,0,26,0,0,,1.53,17,0,1.8,5.4,4.59,0.81
T1046733-65,2024-05-26,S0040,North,Milwaukee,InStore,VendorD,1046733,7,Credit,V00208,SKU-V00208-QQ5P,Beverages,5,1,5,7.6,1,Still Water,Water,Can,355,14,0,1,0,0.82,0.47,15,1,0.78,3.9,2.35,1.55
T1929220-66,2024-11-07,S0054,East,Boston,InStore,VendorA,1929220,6,MobilePay,V00110, sku-v00110-nvb1 ,Beverages,4,0,0,18.0,0,Sports Drink,Sports,Bottle,330,77,15,0,0,5.88,3.55,26,2,5.88,23.52,14.2,9.32
T1632886-67,2024-09-25,S0092,North,Minneapolis,InStore,VendorA,1632886,8,Credit,V00164,SKU-V00029-F1QV,Beverages,3,1,5,2.7,0,Lemonade,Soda,Can,1000,25,3,0,0,2.89,2.18,17,1,2.75,8.25,6.54,1.71
T1710030-68,2024-02-15,S0095,South,Houston,Online,VendorB,1710030,4,Credit,V00159,SKU-V00159-4PK7,Beverages,2,1,20,12.0,0,Ginger Ale,Soda,Bottle,250,55,29,0,0,6.22,4.7,11,0,4.98,9.96,9.4,0.56
T1815347-69,2024-12-24,S0019,West,San Jose,Online,VendorA,1815347,7,Credit,V00214,SKU-V00214-FJJE,Beverages,6,0,0,13.0,0,Lemonade,Functional,Can,330,7,14,0,0,8.85,5.81,14,0,8.85,53.1,34.86,18.24
T1541706-70,2024-11-24,S0110,South,Charlotte,InStore,VendorC,1541706,7,Credit,V00195,SKU-V00195-HF6V,Beverages,2,1,15,12.3,1,Sports Drink,Water,Can,355,16,34,0,0,8.45,6.33,19,0,7.18,14.36,12.66,1.7
T1314301-71,2024-04-25,S0109,West,Los Angeles,InStore,VendorC,1314301,7,MobilePay,V00003,SKU-V00003-4ONB,Beverages,2,0,0,23.1,0,Ginger Ale,Functional,Bottle,473,6,12,0,0,10.28,6.68,7,0,10.28,20.56,13.36,7.2
T1940788-72,2024-10-23,S0107,West,San Diego,InStore,VendorD,1940788,6,Credit,V00208,SKU-V00208-QQ5P,Beverages,3,1,10,29.5,0,Cold Brew,Coffee,Bottle,1500,50,49,0,0,7.22,3.86,10,0,6.5,19.5,11.58,7.92
T1391297-73,2024-06-11,S0103,East,Baltimore,InStore,RegionalFoods,1391297,8,Credit,V00063,SKU-V00063-17HH,Beverages,2,0,0,17.8,0,Orange Soda,Soda,Multi-pack,355,98,0,1,0,6.63,3.57,17,0,6.63,13.26,7.14,6.12
T1635241-74,2024-12-07,S0119,East,Baltimore,InStore,VendorC,1635241,6,Credit,V00174,SKU-V00174-1DW3,Beverages,2,0,0,-6.8,1,Tonic Water,Coffee,Bottle,500,125,16,0,0,7.34,3.81,13,0,7.34,14.68,7.62,7.06
T1355942-75,2024-08-04,S0069,West,San Diego,InStore,RegionalFoods,1355942,8,Cash,V00024,SKU-V00024-4OZH,Beverages,2,0,0,29.2,1,Kombucha,Functional,Can,355,51,0,1,0,4.99,2.82,15,1,4.99,9.98,5.64,4.34
T1475500-76,2024-02-26,S0020,West,Las Vegas,Online,LocalCoop,1475500,8,Cash,V00091,SKU-V00091-R181,Beverages,6,0,0,8.5,0,Orange Soda,Energy,Bottle,500,108,46,0,0,6.35,3.87,19,0,6.35,38.1,23.22,14.88
T1842712-77,2024-06-28,S0055,South,Orlando,Online,NationalSupply,1842712,8,GiftCard,V00018,SKU-V00018-B1WB,Beverages,4,0,0,-1.8,0,Latte Bottle,Soda,Bottle,330,41,41,0,0,0.84,0.63,15,0,0.84,3.36,2.52,0.84
T1255501-78,2024-05-23,S0041,South,Charlotte,Pickup,VendorD,1255501,7,MobilePay,V00230,SKU-V00230-NII8,Beverages,4,1,15,13.9,0,Iced Tea,Water,Multi-pack,1000,91,5,0,0,7.49,4.01,12,0,6.37,25.48,16.04,9.44
T1863059-79,2024-11-18,S0120,East,Pittsburgh,InStore,RegionalFoods,1863059,10,Credit,V00142,SKU-V00142-X4VP,Beverages,4,0,0,13.8,0,Ginger Ale,Tea,Bottle,473,71,23,0,0,7.76,5.99,18,0,7.76,31.04,23.96,7.08
T1710405-80,2024-11-08,S0037,North,Milwaukee,Pickup,VendorB,1710405,9,Cash,V00109,SKU-V00109-P00Y,Beverages,4,1,25,24.1,0,Sports Drink,Soda,Bottle,500,14,44,0,0,2.06,1.36,19,0,1.54,6.16,5.44,0.72
T1675582-81,2024-10-11,S0043,East,Boston,InStore,RegionalFoods,1675582,15,Credit,V00077,SKU-V00077-IGZC,Beverages,1,1,5,-9.6,0,Energy Drink,Soda,Bottle,330,0,18,0,0,4.76,3.24,18,0,4.52,4.52,3.24,1.28
T1602343-82,2024-06-30,S0024,South,Atlanta,Pickup,VendorA,1602343,6,Cash,V00167,SKU-V00167-ADQK,Beverages,1,1,10,17.7,1,Sports Drink,Soda,Carton,330,35,43,0,0,6.45,4.24,15,0,5.81,5.81,4.24,1.57
T1253585-83,2024-08-26,S0044,East,New York,InStore,LocalCoop,1253585,9,Debit,V00094,SKU-V00094-A3N3,Beverages,3,0,0,23.8,0,Latte Bottle,Juice,Can,1500,37,29,0,0,2.57,1.29,16,0,2.57,7.71,3.87,3.84
T1018599-84,2024-04-04,S0023,East,Boston,InStore,NationalSupply,1018599,9,Credit,V00193,SKU-V00193-3INE,Beverages,2,1,5,-6.5,0,Tonic Water,Soda,Can,500,0,15,0,0,1.58,1.11,20,0,1.5,3.0,2.22,0.78
T1801562-85,2024-04-04,S0026,North,Columbus,InStore,NationalSupply,1801562,7,GiftCard,V00065,SKU-V00065-PY1J,Beverages,2,1,20,14.5,0,Orange Soda,Soda,Bottle,330,25,22,0,0,0.82,0.64,21,0,0.66,1.32,1.28,0.04
T1998097-86,2024-11-02,S0086,North,Detroit,Delivery,RegionalFoods,1998097,15,Credit,V00048,SKU-V00048-7OI3,Beverages,1,0,0,18.2,1,Sports Drink,Tea,Bottle,355,0,17,0,0,8.45,4.87,17,0,8.45,8.45,4.87,3.58
T1208134-87,2024-07-17,S0094,East,Philadelphia,Pickup,VendorC,1208134,6,Credit,V00138,SKU-V00138-WAL1,Beverages,5,0,0,-1.8,0,Juice,Soda,Can,473,72,10,0,0,4.48,3.08,12,0,4.48,22.4,15.4,7.0
T1402143-88,2024-10-08,S0001,North,Columbus,InStore,VendorA,1402143,9,Cash,V00102,SKU-V00171-CV2Y,Beverages,3,1,15,22.1,0,Still Water,Tea,Can,2000,89,37,0,0,2.29,1.46,17,0,1.95,5.85,4.38,1.47
T1856916-89,2024-03-05,S0046,West,Las Vegas,InStore,VendorC,1856916,5,Debit,V00219,SKU-V00219-MQNQ,Beverages,4,1,15,-4.7,0,Ginger Ale,Soda,Can,250,83,8,0,0,5.12,3.22,15,2,4.35,17.4,12.88,4.52
T1361832-90,2024-01-23,S0055,North,Columbus,InStore,VendorD,1361832,10,Debit,V00081,SKU-V00081-IBPP,Beverages,3,0,0,8.4,0,Sparkling Water,Energy,Carton,1000,44,2,0,0,7.05,3.87,9,0,7.05,21.15,11.61,9.54
T1319168-91,2024-01-31,S0052,South,Orlando,Online,VendorD,1319168,8,Credit,V00182,SKU-V00182-58Z3,Beverages,3,1,5,12.6,0,Sparkling Water,Juice,Bottle,473,0,33,0,0,7.72,4.08,15,0,7.33,21.99,12.24,9.75
T1167126-92,2024-05-20,S0049,West,Los Angeles,InStore,LocalCoop,1167126,6,Credit,V00097,SKU-V00097-VKBU,Beverages,3,1,25,7.5,0,Sports Drink,Juice,Carton,1000,40,8,0,0,1.41,0.82,23,0,1.06,3.18,2.46,0.72
T1452286-93,2024-06-04,S0106,West,Phoenix,Online,NationalSupply,1452286,8,Credit,V00096,SKU-V00096-I21F,Beverages,3,0,0,4.8,0,Kombucha,Juice,Carton,2000,33,0,1,0,4.16,2.1,27,1,4.16,12.48,6.3,6.18
T1133876-94,2024-01-04,S0036,West,Los Angeles,Online,VendorC,1133876,5,Credit,V00104,SKU-V00104-09L2,Beverages,2,1,15,16.9,0,Iced Tea,Tea,Bottle,355,49,18,0,0,6.24,4.54,13,0,5.3,10.6,9.08,1.52
T1322139-95,2024-10-05,S0109,North,Detroit,InStore,VendorD,1322139,10,Debit,V00025,SKU-V00082-Y838,Beverages,7,0,0,20.5,1,Kombucha,Coffee,Bottle,500,78,53,0,0,1.22,0.63,19,0,1.22,8.54,4.41,4.13
T1726370-96,2024-05-22,S0086,South,Atlanta,Online,VendorB,1726370,5,Credit,V00081,SKU-V00081-IBPP,Beverages,3,0,0,8.5,0,Cola,Water,Bottle,330,42,0,1,0,2.62,1.64,19,1,2.62,7.86,4.92,2.94
T1473367-97,2024-04-30,S0099,South,Houston,Delivery,VendorB,1473367,6,Credit,V00078,SKU-V00078-G2W7,Beverages,4,0,0,6.8,0,Latte Bottle,Tea,Can,355,8,20,0,0,6.89,4.23,23,1,6.89,27.56,16.92,10.64
T1631984-98,2024-12-15,S0029,West,Las Vegas,Online,VendorC,1631984,4,Credit,V00065,SKU-V00065-PY1J,Beverages,1,0,0,6.2,1,Kombucha,Juice,Bottle,330,0,15,0,0,5.59,2.81,19,0,5.59,5.59,2.81,2.78
T1531026-99,2024-02-14,S0079,South,Dallas,InStore,VendorD,1531026,9,Credit,V00159,SKU-V00159-4PK7,Beverages,2,0,0,32.5,0,Tonic Water,Juice,Carton,355,0,25,0,0,3.69,2.05,12,0,3.69,7.38,4.1,3.28
T1392068-100,2024-11-28,S0114,South,Houston,Pickup,VendorA,1392068,8,Cash,V00069,SKU-V00069-QM6V,Beverages,3,0,0,24.3,0,Orange Soda,Tea,Can,1500,0,39,0,0,6.93,4.31,11,0,6.93,20.79,12.93,7.86
T1589074-101,2024-12-11,S0075,South,Orlando,Online,VendorD,1589074,6,Debit,V00197,SKU-V00197-CKBP,Beverages,7,0,0,4.1,0,Cola,Water,Bottle,330,45,42,0,0,5.41,3.62,21,0,5.41,37.87,25.34,12.53
T1126004-102,2024-09-11,S0046,North,Chicago,Online,RegionalFoods,1126004,13,Debit,V00226,SKU-V00052-JUNT,Beverages,3,1,25,3.5,0,Latte Bottle,Tea,Carton,330,108,49,0,0,4.52,,13,1,3.39,10.17,9.66,0.51
