transaction_id,date,store_id,region,city,channel,vendor,basket_id,basket_size,payment_type,product_id,sku,category,quantity,promo_flag,promo_discount_pct,temp_c,is_weekend,product_name,flavor,pack_size,unit_price,unit_cost,is_gluten_free,is_artisan,bake_type,shelf_life_days,calories_per_unit,inventory_received_qty,wastage_qty,net_unit_price,sales,cogs,margin
T1779157-11,2024-05-07,S0031,South,Atlanta,Online,VendorB,1779157,6,Cash,B00049,SKU-B00090-FKEC,Bakery,3,0,0,12.5,0,Bagel,Blueberry,2,12.99,9.87,0,1,In-store baked,1,206,7,1,12.99,38.97,29.61,9.36
T1343708-12,2024-10-24,S0117,North,Chicago,InStore,VendorD,1343708,5,Credit,B00016,SKU-B00016-PR71,Bakery,3,0,0,-5.8,0,Bagel,Cinnamon,1,1.52,1.15,0,0,Vendor baked,2,335,19,2,1.52,4.56,3.45,1.11
T1002076-13,2024-06-14,S0011,West,Los Angeles,InStore,NationalSupply,1002076,6,Credit,B00058,SKU-B00058-9RCF,Bakery,2,0,0,30.3,0,Bagel,Chocolate,6,6.65,4.23,0,0,In-store baked,7,195,12,0,6.65,13.3,8.46,4.84
T1500157-14,2024-12-03,S0022,East,Baltimore,Delivery,VendorB,1500157,9,Credit,B00013,SKU-B00013-P6SP,Bakery,4,1,10,-0.8,0,Cookies,Plain,2,10.73,6.49,0,0,Vendor baked,4,198,10,0,9.66,38.64,25.96,12.68
T1395277-15,2024-06-13,S0032,West,Los Angeles,InStore,RegionalFoods,1395277,7,Debit,B00057,SKU-B00057-PRDS,Bakery,2,1,10,9.8,0,Brownie,Raspberry,2,6.43,4.97,0,0,Vendor baked,3,332,5,1,5.79,11.58,9.94,1.64
T1179959-16,2024-04-11,S0027,East,Boston,InStore,VendorD,1179959,10,Credit,B00188,SKU-B00188-NOT5,Bakery,3,0,0,11.6,0,Pita,Cheese,1,7.53,5.47,0,0,In-store baked,6,260,11,0,7.53,22.59,16.41,6.18
T1366465-17,2024-10-15,S0074,South,Charlotte,InStore,VendorD,1366465,8,Cash,B00106,SKU-B00106-6WA4,Bakery,3,0,0,-0.8,0,Brownie,Cheese,8,7.22,5.11,0,1,Vendor baked,2,299,16,2,7.22,21.66,15.33,6.33
T1589987-18,2024-10-27,S0046,South,Dallas,Pickup,VendorC,1589987,10,Debit,B00138,SKU-B00138-QBBA,Bakery,3,1,30,-3.4,1,Croissant,Raspberry,6,9.54,5.89,0,0,In-store baked,6,327,16,0,6.68,20.04,17.67,2.37
T1030902-19,2024-11-11,S0068,East,Pittsburgh,Online,VendorA,1030902,7,MobilePay,B00089,SKU-B00089-U6QH,Bakery,5,0,0,8.9,0,Baguette,Almond,12,11.34,7.54,0,0,In-store baked,7,269,15,1,11.34,56.7,37.7,19.0
T1984492-20,2024-11-21,S0108,West,Los Angeles,Pickup,RegionalFoods,1984492,5,Debit,B00202,SKU-B00202-SLFP,Bakery,2,0,0,6.1,0,Cupcake,Maple,6,2.66,1.57,0,1,In-store baked,2,215,10,0,2.66,5.32,3.14,2.18
T1913493-21,2024-01-10,S0010,South,Dallas,InStore,VendorC,1913493,9,Credit,B00168,SKU-B00168-3ZN0,Bakery,4,0,0,-6.7,0,Tortilla Pack,Blueberry,1,10.07,6.79,1,0,In-store baked,7,216,11,0,10.07,40.28,27.16,13.12
T1974671-22,2024-07-06,S0043,East,Pittsburgh,InStore,VendorA,1974671,8,Debit,B00043,SKU-B00043-WA4Q,Bakery,6,0,0,16.0,1,Cookies,Strawberry,1,,2.19,0,1,In-store baked,2,236,9,0,3.78,22.68,13.14,9.54
T1338037-23,2024-04-08,S0023,East,New York,InStore,VendorD,1338037,5,Credit,B00004,SKU-B00004-U8HC,Bakery,5,0,0,22.7,0,Cinnamon Roll,Strawberry,6,9.94,6.48,0,0,In-store baked,2,300,11,0,9.94,49.7,32.4,17.3
T1162802-24,2024-03-30,S0021,North,Milwaukee,InStore,LocalCoop,1162802,9,Credit,B00060,SKU-B00060-KN5H,Bakery,1,1,5,0.2,1,Sandwich Bread,Strawberry,8,8.23,4.83,0,0,In-store baked,4,352,10,0,7.82,7.82,4.83,2.99
T1059645-25,2024-03-29,S0013,Central,Kansas City,InStore,VendorD,1059645,9,Credit,B00063,SKU-B00063-JNHY,Bakery,4,0,0,29.6,0,Tortilla Pack,Cinnamon,12,9.08,6.09,1,0,In-store baked,2,257,8,0,9.08,36.32,24.36,11.96
T1338178-26,2024-10-28,S0114,South,Dallas,Pickup,NationalSupply,1338178,3,Credit,B00122,SKU-B00122-JJFT,Bakery,2,0,0,11.9,0,Donut,Raspberry,4,8.77,5.48,0,0,Vendor baked,3,245,12,1,8.77,17.54,10.96,6.58
T1679883-27,2024-10-16,S0045,West,San Diego,InStore,VendorB,1679883,3,Debit,B00050,SKU-B00050-7KKL,Bakery,3,0,0,13.2,0,Baguette,Chocolate,2,11.75,6.97,1,0,In-store baked,5,211,11,1,11.75,35.25,20.91,14.34
T1615007-28,2024-03-19,S0032,East,Boston,Pickup,RegionalFoods,1615007,7,Debit,B00017,SKU-B00017-ABY0,Bakery,5,0,0,0.4,0,Croissant,Cheese,1,6.94,3.88,1,0,In-store baked,4,266,14,0,6.94,34.7,19.4,15.3
T1896103-29,2024-05-29,S0039,West,San Jose,Pickup,VendorC,1896103,14,Credit,B00095,SKU-B00095-UBLU,Bakery,2,0,0,13.6,0,Sandwich Bread,Blueberry,4,10.25,7.46,0,0,Vendor baked,7,72,14,0,10.25,20.5,14.92,5.58
T1881781-30,2024-09-28,S0044,South,Houston,Online,RegionalFoods,1881781,9,MobilePay,B00045,SKU-B00045-43EO,Bakery,3,0,0,19.1,1,Croissant,Lemon,2,12.44,7.94,0,0,In-store baked,6,353,7,0,12.44,37.32,23.82,13.5
T1302318-31,2024-02-24,S0026,West,Las Vegas,Online,LocalCoop,1302318,9,Credit,B00185,SKU-B00185-LOV5,Bakery,3,0,0,7.7,1,Focaccia,Plain,2,7.7,4.38,0,0,In-store baked,7,214,12,1,7.7,23.1,13.14,9.96
T1512116-32,2024-08-18,S0012,East,Boston,Online,NationalSupply,1512116,7,Cash,B00112,SKU-B00112-IM3B,Bakery,5,0,0,19.8,1,Brioche,Plain,4,10.32,7.72,0,0,In-store baked,6,224,17,2,10.32,51.6,38.6,13.0
T1924969-33,2024-06-09,S0071,North,Detroit,InStore,VendorD,1924969,7,Credit,B00189,SKU-B00189-BCKA,Bakery,1,0,0,2.9,1,Brioche,Lemon,8,,4.78,0,0,Vendor baked,6,249,9,1,6.87,6.87,4.78,2.09
T1234371-34,2024-12-05,S0107,East,Pittsburgh,InStore,LocalCoop,1234371,7,Cash,B00070,SKU-B00070-G7ZC,Bakery,3,0,0,9.2,0,Cookies,Cinnamon,1,4.06,2.6,0,0,Vendor baked,2,83,10,0,4.06,12.18,7.8,4.38
T1846362-35,2024-09-27,S0090,South,Atlanta,InStore,RegionalFoods,1846362,4,Debit,B00061,SKU-B00061-2JDA,Bakery,3,1,25,16.3,0,Cookies,Cheese,6,11.41,8.79,0,0,In-store baked,4,272,11,1,8.56,25.68,26.37,-0.69
T1095452-36,2024-03-25,S0003,Central,Nashville,Delivery,VendorC,1095452,6,Debit,B00080,SKU-B00080-4HU7,Bakery,4,0,0,0.6,0,Sandwich Bread,Pumpkin,1,8.44,5.23,0,0,In-store baked,3,258,11,1,8.44,33.76,20.92,12.84
T1489070-37,2024-11-01,S0077,North,Detroit,Online,VendorB,1489070,4,Debit,B00172,SKU-B00034-Y8FY,Bakery,3,1,15,27.5,0,Muffin,Almond,4,9.46,6.39,0,0,In-store baked,5,392,9,1,8.04,24.12,19.17,4.95
T1493825-38,2024-10-19,S0080,West,Las Vegas,InStore,VendorB,1493825,7,Debit,B00051, SKU-B00080-4HU7 ,Bakery,1,0,0,1.9,1,Sandwich Bread,Lemon,12,4.61,3.53,0,0,Vendor baked,6,131,7,1,4.61,4.61,3.53,1.08
T1388779-39,2024-03-18,S0059,West,Las Vegas,InStore,RegionalFoods,1388779,6,Credit,B00032,SKU-B00032-DJFG,Bakery,8,1,15,14.7,0,Donut,Almond,4,4.64,3.02,0,0,In-store baked,7,147,16,0,3.94,31.52,24.16,7.36
T1852286-40,2024-07-08,S0093,North,Detroit,Online,LocalCoop,1852286,14,Credit,B00043,SKU-B00043-WA4Q,Bakery,3,0,0,10.0,0,Brownie,Maple,1,9.13,6.82,0,0,In-store baked,3,333,9,0,9.13,27.39,20.46,6.93
T1652696-41,2024-10-17,S0093,North,Minneapolis,Online,VendorB,1652696,6,Debit,B00192,SKU-B00192-BQHT,Bakery,1,0,0,-8.1,0,Pita,Cinnamon,1,3.11,2.08,0,0,Vendor baked,7,168,7,0,3.11,3.11,2.08,1.03
T1263941-42,2024-03-25,S0064,South,Charlotte,InStore,VendorB,1263941,9,Debit,B00114,SKU-B00114-TX4G,Bakery,5,0,0,4.1,0,Cupcake,Vanilla,6,9.57,6.1,0,0,In-store baked,4,275,15,1,9.57,47.85,30.5,17.35
T1499461-43,2024-03-30,S0082,South,Dallas,InStore,VendorD,1499461,4,Debit,B00018,SKU-B00018-M83Y,Bakery,3,1,5,20.3,1,Baguette,Pumpkin,1,7.88,4.42,0,1,In-store baked,2,178,14,0,7.49,22.47,13.26,9.21
T1908359-44,2024-03-01,S0069,North,Minneapolis,InStore,VendorD,1908359,6,Credit,B00017,SKU-B00017-ABY0,Bakery,3,0,0,26.1,0,Sourdough Loaf,Blueberry,6,11.7,8.55,0,1,Vendor baked,2,388,13,0,11.7,35.1,25.65,9.45
T1438826-45,2024-01-03,S0060,South,Houston,Online,NationalSupply,1438826,3,Credit,B00034,SKU-B00034-Y8FY,Bakery,2,0,0,16.7,0,Cookies,Lemon,6,8.3,5.55,0,0,In-store baked,5,244,12,0,8.3,16.6,11.1,5.5
T1370649-46,2024-07-01,S0019,West,Phoenix,Pickup,NationalSupply,1370649,7,Debit,B00115,SKU-B00115-M57Z,Bakery,6,0,0,25.8,0,Focaccia,Cinnamon,4,11.39,6.71,1,1,Vendor baked,2,445,11,0,11.39,68.34,40.26,28.08
T1438190-47,2024-01-06,S0062,West,San Jose,InStore,NationalSupply,1438190,4,Debit,B00131,SKU-B00214-CP7C,Bakery,5,0,0,10.4,1,Pita,Blueberry,1,11.59,6.52,0,1,In-store baked,2,186,14,0,11.59,57.95,32.6,25.35
T1237742-48,2024-08-01,S0098,North,Milwaukee,Pickup,LocalCoop,1237742,11,Debit,B00142,SKU-B00142-PFGR,Bakery,4,0,0,-14.9,0,Pita,Cheese,12,6.7,5.0,1,0,Vendor baked,6,338,13,1,6.7,26.8,20.0,6.8
T1087895-49,2024-06-01,S0115,Central,Kansas City,InStore,LocalCoop,1087895,7,Credit,B00021,SKU-B00021-9530,Bakery,3,1,30,2.9,1,Muffin,Vanilla,1,12.64,7.7,0,1,In-store baked,3,160,10,0,8.85,26.55,23.1,3.45
T1627983-50,2024-03-08,S0037,West,San Diego,InStore,VendorD,1627983,9,MobilePay,B00171,SKU-B00171-I2GS,Bakery,1,0,0,23.3,0,Cookies,Cheese,2,7.85,4.48,0,0,In-store baked,2,239,10,0,7.85,7.85,4.48,3.37
T1203365-51,2024-05-12,S0001,South,Atlanta,InStore,NationalSupply,1203365,7,Credit,B00068,SKU-B00068-8BRK,Bakery,3,1,5,7.7,1,Sourdough Loaf,Strawberry,8,1.73,1.27,0,0,In-store baked,2,368,12,0,1.64,4.92,3.81,1.11
T1071250-52,2024-01-06,S0020,Central,Kansas City,InStore,RegionalFoods,1071250,10,Debit,B00047,SKU-B00021-9530,Bakery,3,1,20,-1.4,1,Donut,Vanilla,2,5.08,3.73,0,1,In-store baked,3,183,6,0,4.06,12.18,11.19,0.99
T1740949-53,2024-02-22,S0046,South,Orlando,Delivery,NationalSupply,1740949,5,Debit,B00020,SKU-B00020-G1YB,Bakery,1,0,0,32.6,0,Baguette,Strawberry,8,13.62,10.33,0,1,Vendor baked,3,378,12,0,13.62,13.62,10.33,3.29
T1248697-54,2024-06-21,S0003,North,Detroit,Online,RegionalFoods,1248697,5,Credit,B00014,SKU-B00014-F9FO,Bakery,3,1,10,-9.3,0,Cake Slice,Plain,1,8.3,6.08,0,0,Vendor baked,2,338,7,0,7.47,22.41,18.24,4.17
T1738386-55,2024-01-29,S0032,East,Baltimore,InStore,LocalCoop,1738386,7,Debit,B00112,SKU-B00112-IM3B,Bakery,2,0,0,-8.9,0,Croissant,Lemon,2,5.77,3.53,0,0,Vendor baked,5,252,12,0,5.77,11.54,7.06,4.48
T1852833-56,2024-09-23,S0095,North,Milwaukee,InStore,VendorD,1852833,7,Debit,B00067,SKU-B00067-24J6,Bakery,5,1,30,19.5,0,Pita,Plain,2,8.06,4.72,0,0,In-store baked,7,203,9,0,5.64,28.2,23.6,4.6
T1459754-57,2024-04-04,S0006,South,Atlanta,Pickup,VendorA,1459754,7,Credit,B00091,SKU-B00091-VE5Y,Bakery,2,0,0,10.9,0,Donut,Chocolate,6,11.98,7.43,0,1,In-store baked,1,216,7,0,11.98,23.96,14.86,9.1
T1288790-58,2024-12-02,S0020,Central,Cleveland,InStore,LocalCoop,1288790,6,Cash,B00107,SKU-B00107-NH2F,Bakery,2,1,25,26.2,0,Cookies,Blueberry,1,10.99,8.61,0,1,In-store baked,2,226,8,0,8.24,16.48,17.22,-0.74
T1882525-59,2024-03-03,S0108,Central,St. Louis,InStore,LocalCoop,1882525,6,MobilePay,B00069,SKU-B00069-G4UF,Bakery,3,0,0,2.6,1,Tortilla Pack,Raspberry,4,6.92,4.35,1,1,In-store baked,3,210,11,0,6.92,20.76,13.05,7.71
T1030416-60,2024-08-16,S0091,South,Houston,Delivery,RegionalFoods,1030416,4,Credit,B00157,SKU-B00157-SM98,Bakery,2,0,0,25.8,0,Croissant,Plain,1,9.04,6.84,0,0,Vendor baked,5,221,5,0,9.04,18.08,13.68,4.4
T1636831-61,2024-07-07,S0006,East,New York,InStore,NationalSupply,1636831,5,Debit,B00096,SKU-B00025-R0VY,Bakery,4,0,0,6.4,1,Brioche,Cheese,4,10.16,7.7,1,0,Vendor baked,5,329,11,3,10.16,40.64,30.8,9.84
T1877078-62,2024-12-01,S0020,West,Los Angeles,Online,VendorB,1877078,6,Credit,B00017,SKU-B00017-ABY0,Bakery,3,0,0,-6.8,1,Focaccia,Almond,6,12.71,9.55,0,0,Vendor baked,5,355,10,0,12.71,38.13,28.65,9.48
T1398060-63,2024-08-14,S0078,North,Detroit,InStore,VendorB,1398060,6,Credit,B00190,SKU-B00190-SE6E,Bakery,1,0,0,15.6,0,Pita,Cinnamon,8,10.83,6.96,0,0,In-store baked,2,125,7,0,10.83,10.83,6.96,3.87
T1598411-64,2024-11-12,S0098,South,Atlanta,Online,VendorA,1598411,6,Credit,B00120,SKU-B00120-38F2,Bakery,3,0,0,13.4,0,Baguette,Blueberry,1,6.16,3.73,1,1,In-store baked,1,326,6,0,6.16,18.48,11.19,7.29
T1407372-65,2024-06-18,S0073,East,New York,Online,VendorD,1407372,10,Credit,B00218,SKU-B00218-D9E9,Bakery,2,0,0,13.6,0,Tortilla Pack,Raspberry,6,7.25,5.72,0,0,In-store baked,4,248,9,0,7.25,14.5,11.44,3.06
T1864207-66,2024-03-20,S0042,South,Charlotte,InStore,VendorA,1864207,9,Cash,B00164,SKU-B00164-PC5T,Bakery,4,1,15,-8.5,0,Donut,Maple,4,8.61,5.69,0,0,In-store baked,6,377,11,2,7.32,29.28,22.76,6.52
T1908762-67,2024-03-10,S0008,Central,Cleveland,InStore,VendorD,1908762,10,MobilePay,B00148,SKU-B00148-J0RV,Bakery,6,0,0,21.4,1,Donut,Lemon,4,2.3,1.62,0,0,In-store baked,2,297,14,0,2.3,13.8,9.72,4.08
T1605043-68,2024-11-13,S0071,South,Houston,Online,VendorD,1605043,8,Debit,B00023,SKU-B00023-62TJ,Bakery,6,1,15,13.3,0,Sourdough Loaf,Strawberry,6,12.55,9.22,0,0,In-store baked,7,353,12,0,10.67,64.02,55.32,8.7
T1107790-69,2024-03-15,S0111,West,Phoenix,InStore,VendorA,1107790,7,Cash,B00044,SKU-B00044-TTOO,Bakery,4,0,0,21.4,0,Croissant,Blueberry,1,7.7,5.16,1,0,In-store baked,4,460,12,1,7.7,30.8,20.64,10.16
T1073073-70,2024-09-24,S0068,South,Atlanta,Pickup,LocalCoop,1073073,7,MobilePay,B00128,SKU-B00098-7H2L,Bakery,3,0,0,14.9,0,Brioche,Maple,1,5.01,3.84,0,0,Vendor baked,7,346,20,0,5.01,15.03,11.52,3.51
T1206269-71,2024-07-12,S0031,South,Houston,InStore,VendorD,1206269,6,Credit,B00070,SKU-B00070-G7ZC,Bakery,4,0,0,16.7,0,Cupcake,Blueberry,1,3.76,2.44,0,0,In-store baked,2,344,7,0,3.76,15.04,9.76,5.28
T1481168-72,2024-04-11,S0071,North,Milwaukee,InStore,VendorB,1481168,11,Credit,B00146,SKU-B00024-HPHZ,Bakery,3,0,0,-1.6,0,Bagel,Strawberry,1,2.98,1.78,0,0,In-store baked,2,250,10,0,2.98,8.94,5.34,3.6
T1998030-73,2024-05-30,S0073,North,Milwaukee,Pickup,VendorC,1998030,10,Credit,B00135,SKU-B00135-0C4E,Bakery,5,0,0,13.4,0,Donut,Vanilla,4,10.5,5.96,0,1,Vendor baked,3,441,11,0,10.5,52.5,29.8,22.7
T1020753-74,2024-10-18,S0044,West,San Diego,InStore,RegionalFoods,1020753,7,Credit,B00085,SKU-B00085-A7VY,Bakery,4,0,0,12.3,0,Tortilla Pack,Blueberry,1,7.36,5.34,0,0,Vendor baked,3,357,10,0,7.36,29.44,21.36,8.08
T1113433-75,2024-06-14,S0095,West,Las Vegas,InStore,VendorA,1113433,5,Debit,B00199,SKU-B00199-KMCI,Bakery,7,0,0,14.5,0,Sandwich Bread,Lemon,2,4.89,3.06,1,1,In-store baked,2,335,16,0,4.89,34.23,21.42,12.81
T1416465-76,2024-11-12,S0069,North,Minneapolis,InStore,NationalSupply,1416465,6,Cash,B00045,SKU-B00045-43EO,Bakery,3,1,10,10.1,0,Sourdough Loaf,Cheese,12,10.73,6.01,0,0,In-store baked,3,81,10,0,9.66,28.98,18.03,10.95
T1221098-77,2024-12-12,S0110,East,Baltimore,InStore,RegionalFoods,1221098,11,Debit,B00049,SKU-B00090-FKEC,Bakery,4,0,0,19.2,0,Tortilla Pack,Lemon,8,5.95,3.69,0,1,Vendor baked,2,72,12,0,5.95,23.8,14.76,9.04
T1453646-78,2024-04-19,S0019,Central,St. Louis,InStore,VendorD,1453646,8,Credit,B00143,SKU-B00143-QDR5,Bakery,3,0,0,18.6,0,Croissant,Raspberry,8,10.88,7.11,0,0,Vendor baked,2,217,8,0,10.88,32.64,21.33,11.31
T1179114-79,2024-07-11,S0069,East,New York,InStore,RegionalFoods,1179114,11,Debit,B00124,SKU-B00124-PSFX,Bakery,3,1,10,0.0,0,Brioche,Cinnamon,2,10.01,6.82,0,0,In-store baked,7,359,10,1,9.01,27.03,20.46,6.57
T1881242-80,2024-07-11,S0005,North,Milwaukee,InStore,VendorA,1881242,7,Credit,B00201,SKU-B00201-TD5U,Bakery,1,1,30,6.7,0,Cupcake,Vanilla,1,7.03,4.1,0,1,In-store baked,1,220,14,1,4.92,4.92,4.1,0.82
T1871406-81,2024-07-17,S0091,South,Dallas,Delivery,VendorC,1871406,4,Credit,B00022,SKU-B00022-7OKW,Bakery,2,1,10,10.5,0,Muffin,Lemon,2,5.65,3.28,1,1,In-store baked,1,60,11,0,5.09,10.18,6.56,3.62
T1021783-82,2024-01-27,S0071,Central,Cleveland,Delivery,VendorC,1021783,3,MobilePay,B00071,SKU-B00071-KPN2,Bakery,4,0,0,23.2,1,Brioche,Lemon,8,9.47,5.58,0,0,Vendor baked,6,307,19,0,9.47,37.88,22.32,15.56
T1142362-83,2024-05-15,S0034,South,Orlando,Online,VendorB,1142362,10,Credit,B00044,SKU-B00044-TTOO,Bakery,2,0,0,3.8,0,Sourdough Loaf,Vanilla,1,11.21,6.38,0,1,In-store baked,3,301,5,0,11.21,22.42,12.76,9.66
T1566842-84,2024-08-01,S0061,South,Charlotte,InStore,NationalSupply,1566842,9,Debit,B00093,SKU-B00093-SEMF,Bakery,4,0,0,21.0,0,Sourdough Loaf,Cheese,1,10.67,7.06,0,1,In-store baked,1,175,13,3,10.67,42.68,28.24,14.44
T1206441-85,2024-12-02,S0084,South,Orlando,InStore,VendorD,1206441,8,Credit,B00143,SKU-B00143-QDR5,Bakery,2,0,0,14.0,0,Muffin,Cinnamon,1,4.38,2.61,0,0,Vendor baked,4,365,11,1,4.38,8.76,5.22,3.54
T1184480-86,2024-03-28,S0076,South,Houston,Pickup,NationalSupply,1184480,7,Debit,B00060,SKU-B00060-KN5H,Bakery,4,0,0,4.7,0,Muffin,Almond,1,2.14,,0,0,In-store baked,2,90,10,1,2.14,8.56,5.88,2.68
T1335696-87,2024-08-23,S0078,South,Orlando,Delivery,VendorB,1335696,10,Debit,B00093,SKU-B00093-SEMF,Bakery,3,0,0,26.2,0,Tortilla Pack,Cheese,4,7.82,5.44,0,1,Vendor baked,1,322,9,0,7.82,23.46,16.32,7.14
T1469632-88,2024-10-06,S0120,South,Dallas,InStore,LocalCoop,1469632,8,GiftCard,B00059,SKU-B00059-D3KA,Bakery,3,0,0,21.2,1,Donut,Strawberry,4,11.58,6.49,0,0,In-store baked,5,204,5,0,11.58,34.74,19.47,15.27
T1046477-89,2024-12-04,S0036,North,Minneapolis,InStore,NationalSupply,1046477,2,Cash,B00201,SKU-B00201-TD5U,Bakery,4,0,0,-0.7,0,Baguette,Chocolate,4,4.56,3.61,0,0,Vendor baked,6,398,15,0,4.56,18.24,14.44,3.8
T1572742-90,2024-03-04,S0068,South,Houston,Online,VendorC,1572742,5,MobilePay,B00155,SKU-B00155-5CQD,Bakery,4,0,0,7.6,0,Donut,Maple,8,7.99,6.34,0,0,In-store baked,2,296,9,0,7.99,31.96,25.36,6.6
T1885009-91,2024-09-03,S0013,East,Boston,Pickup,VendorB,1885009,9,Cash,B00186,SKU-B00186-F9W7,Bakery,3,1,25,6.1,0,Cake Slice,Vanilla,1,10.65,6.97,0,0,In-store baked,5,322,9,0,7.99,23.97,20.91,3.06
T1128299-92,2024-04-24,S0094,East,Pittsburgh,InStore,RegionalFoods,1128299,11,Cash,B00118,SKU-B00118-XJKK,Bakery,5,1,15,20.1,0,Focaccia,Maple,12,5.77,3.47,0,0,Vendor baked,5,177,13,0,4.9,24.5,17.35,7.15
T1392653-93,2024-06-10,S0031,West,Las Vegas,InStore,VendorD,1392653,9,Credit,B00073,SKU-B00073-SG7F,Bakery,5,0,0,10.5,0,Baguette,Pumpkin,1,1.54,1.17,0,0,In-store baked,4,246,14,0,1.54,7.7,5.85,1.85
T1919465-94,2024-01-06,S0032,North,Minneapolis,Online,VendorB,1919465,9,Cash,B00085,SKU-B00085-A7VY,Bakery,4,0,0,-0.8,1,Donut,Lemon,2,2.89,2.09,0,0,In-store baked,6,135,17,1,2.89,11.56,8.36,3.2
T1394672-95,2024-09-21,S0038,North, milwaukee ,InStore,VendorC,1394672,7,Credit,B00175,SKU-B00175-HZB1,Bakery,2,0,0,23.5,1,Sandwich Bread,Cheese,8,7.99,6.16,0,1,In-store baked,1,286,12,0,7.99,15.98,12.32,3.66
T1673368-96,2024-01-12,S0025,North,Milwaukee,Pickup,LocalCoop,1673368,6,Credit,B00089,SKU-B00089-U6QH,Bakery,4,0,0,-5.1,0,Baguette,Plain,1,2.29,1.65,0,0,Vendor baked,5,415,12,0,2.29,9.16,6.6,2.56
T1284892-97,2024-05-16,S0101,North,Milwaukee,InStore,LocalCoop,1284892,11,Credit,B00039,SKU-B00039-71UE,Bakery,3,1,30,9.8,0,Brioche,Lemon,8,6.85,4.94,0,0,In-store baked,2,253,8,2,4.79,14.37,14.82,-0.45
T1875582-98,2024-06-30,S0010,West,San Jose,Online,VendorA,1875582,5,Cash,B00187,SKU-B00187-NNU1,Bakery,6,0,0,28.6,1,Cake Slice,Pumpkin,4,9.04,,1,0,Vendor baked,7,143,11,2,9.04,54.24,34.2,20.04
T1729094-99,2024-09-01,S0031,South,Orlando,InStore,VendorB,1729094,10,Credit,B00035,SKU-B00085-A7VY,Bakery,5,0,0,7.0,1,Cookies,Maple,1,9.37,6.49,0,1,In-store baked,1,311,12,1,9.37,46.85,32.45,14.4
T1754560-100,2024-06-20,S0052,East,Baltimore,InStore,RegionalFoods,1754560,6,Debit,B00050,SKU-B00050-7KKL,Bakery,1,1,5,9.2,0,Baguette,Lemon,8,7.56,5.89,0,1,In-store baked,3,284,8,0,7.18,7.18,5.89,1.29
