customer_id,age,gender,income,account_balance,credit_score,loan_amount,loan_duration,interest_rate,employment_status,education_level,marital_status,num_of_dependents,housing_status,years_with_bank,num_of_products,has_credit_card,has_personal_loan,has_mortgage,num_of_transactions,satisfaction_score
18,39,Female,71027,48241,321,44754,26,8.9,Unemployed,High School,Divorced,2,Rent,38,6,0,1,1,272,5.27
19,19,Female,54531,43533,648,38725,25,11.69,Employed,High School,Divorced,2,Rent,12,9,0,1,1,15,1.99
20,41,Female,28712,29270,619,39347,22,12.74,Employed,High School,Widowed,4,Rent,25,7,1,0,0,298,6.04
21,61,Male,124101,79815,425,12953,29,11.06,Employed,Bachelor,Widowed,3,Rent,20,2,1,1,0,67,3.22
22,47,Female,85455,40279,576,19314,19,14.01,Self-Employed,Bachelor,Single,0,Own,49,8,0,0,1,154,9.79
23,55,Female,94744,24888,503,18763,1,12.66,Unemployed,Master,Divorced,3,Own,49,9,0,1,0,51,8.17
24,19,Female,141787,18630,493,12658,4,9.3,Unemployed,Bachelor,Married,1,Mortgage,42,7,0,0,0,209,4.72
25,38,Male,149749,62063,846,16235,14,10.73,Unemployed,PhD,Divorced,2,Rent,7,4,1,1,0,183,2.36
26,50,Male,25109,36144,585,16330,14,14.04,Employed,High School,Married,2,Rent,29,9,1,0,0,104,8.07
27,29,Male,141332,53161,356,48393,3,10.05,Unemployed,Master,Married,3,Own,48,4,0,0,0,226,2.1
28,39,Male,69268,97718,602,45173,28,12.72,Self-Employed,Master,Single,0,Rent,29,4,1,1,0,120,2.7
29,61,Male,120737,92074,462,24426,17,10.95,Employed,PhD,Divorced,2,Mortgage,13,9,0,0,0,189,2.9
30,42,Male,74615,78360,318,45566,3,9.18,Employed,Bachelor,Married,3,Mortgage,3,8,1,1,0,172,6.01
31,66,Male,102503,51979,669,35279,16,5.14,Employed,Master,Widowed,0,Rent,2,4,0,1,0,128,8.08
32,44,Male,143274,98661,563,3873,14,7.54,Employed,Bachelor,Married,3,Mortgage,16,8,1,0,1,237,3.83
33,59,Female,49759,7979,412,10835,20,14.58,Self-Employed,Bachelor,Widowed,0,Mortgage,30,8,0,1,0,154,1.76
34,45,Female,105708,27189,787,24241,29,10.55,Unemployed,PhD,Widowed,4,Own,38,7,1,0,0,151,5.18
35,33,Male,80112,43600,626,11192,13,9.34,Self-Employed,Master,Divorced,0,Mortgage,6,6,0,0,0,131,7.73
36,32,Male,122471,60560,841,47795,15,14.13,Unemployed,Bachelor,Widowed,1,Rent,45,8,0,1,0,294,2.99
37,64,Female,146740,79040,364,46041,14,9.62,Self-Employed,Bachelor,Married,4,Rent,7,7,0,1,0,235,2.98
38,68,Male,143153,62558,591,34557,24,8.84,Employed,PhD,Widowed,3,Mortgage,5,5,0,1,1,266,9.53
39,61,Male,46589,87205,324,1947,25,11.87,Employed,PhD,Divorced,4,Rent,7,4,1,1,1,294,9.59
40,69,Male,50015,7910,848,20083,19,11.26,Self-Employed,Bachelor,Single,4,Own,34,2,0,1,0,174,9.91
41,20,Female,49009,58713,300,23265,6,4.51,Self-Employed,PhD,Married,3,Mortgage,32,8,1,0,1,230,8.27
42,54,Female,103309,47857,848,24406,10,8.13,Unemployed,Bachelor,Married,3,Mortgage,49,9,1,0,0,78,2.69
43,68,Female,146446,35964,440,20067,27,8.14,Self-Employed,Master,Divorced,1,Mortgage,13,4,0,1,0,233,2.91
44,24,Female,82046,86667,487,14639,15,6.92,Self-Employed,High School,Divorced,3,Rent,30,4,0,1,1,133,4.06
45,38,Female,126661,26227,427,47025,21,8.72,Unemployed,PhD,Divorced,2,Rent,25,5,0,1,1,21,3.86
46,26,Male,46143,6978,500,38730,22,7.37,Unemployed,High School,Divorced,2,Mortgage,21,2,0,0,1,61,9.61
47,56,Female,26154,88527,426,20020,20,4.59,Unemployed,Bachelor,Married,1,Rent,21,7,1,0,1,138,8.1
48,35,Male,41804,18153,556,20202,26,7.36,Self-Employed,Bachelor,Single,0,Rent,28,5,1,0,1,144,7.52
49,21,Male,61688,60765,846,26066,6,2.94,Unemployed,Bachelor,Widowed,0,Mortgage,48,6,1,1,0,154,2.67
50,42,Female,84288,40071,493,8157,23,9.49,Employed,High School,Widowed,2,Mortgage,20,4,1,1,0,136,9.19
51,31,Female,71195,70519,403,38188,25,13.1,Employed,Bachelor,Single,3,Rent,34,8,0,0,0,235,8.45
52,67,Male,40581,10503,834,30634,10,11.43,Employed,PhD,Single,1,Mortgage,5,8,1,1,1,80,2.47
53,26,Male,72648,61703,564,10845,7,6.69,Self-Employed,Master,Single,0,Mortgage,18,5,0,1,0,282,8.84
54,43,Male,50087,65379,683,41685,22,3.13,Employed,Master,Divorced,0,Mortgage,39,6,0,0,1,196,3.45
55,19,Female,69930,96457,559,27913,17,4.63,Self-Employed,PhD,Married,4,Mortgage,43,3,1,0,0,12,1.73
56,37,Female,52981,58866,713,5708,18,9.09,Self-Employed,Master,Married,2,Rent,11,1,1,1,1,294,6.91
57,45,Female,89298,17905,657,33955,17,4.69,Employed,High School,Married,3,Mortgage,17,9,1,0,1,31,6.88
58,64,Female,66167,46838,374,28518,9,9.07,Unemployed,Bachelor,Divorced,1,Own,48,9,1,1,0,175,1.85
59,24,Female,95304,59279,654,46491,10,5.01,Self-Employed,Bachelor,Married,0,Mortgage,45,3,1,0,0,255,3.87
60,61,Male,63408,90489,487,8580,10,13.04,Employed,Bachelor,Divorced,4,Own,22,4,1,0,0,243,9.94
61,25,Female,59499,27806,589,22402,25,7.16,Self-Employed,High School,Married,2,Mortgage,37,7,0,1,0,167,7.11
62,64,Male,145816,46000,344,9986,7,5.19,Unemployed,High School,Single,2,Own,20,2,0,1,1,160,7.57
63,52,Male,72269,23168,382,39362,16,12.56,Unemployed,High School,Widowed,1,Own,48,3,0,0,0,222,2.92
64,31,Male,58559,71119,422,21658,29,6.46,Employed,PhD,Widowed,0,Mortgage,48,6,1,1,1,227,1.71
65,34,Female,134126,39714,657,40960,18,3.45,Self-Employed,High School,Divorced,1,Mortgage,48,8,0,0,0,255,3.49
66,53,Female,94319,55093,827,44356,6,9.42,Self-Employed,Master,Married,1,Mortgage,46,1,0,1,0,285,3.24
67,67,Female,131925,56419,365,36371,27,9.56,Self-Employed,PhD,Widowed,4,Own,6,4,0,0,0,160,3.11
68,57,Male,115317,50145,674,35708,20,11.29,Self-Employed,PhD,Single,2,Rent,34,1,0,0,0,205,2.73
69,21,Male,116347,78425,461,21019,1,5.12,Employed,PhD,Single,3,Rent,14,2,0,0,0,30,6.17
70,19,Male,68787,93949,679,31879,1,7.77,Unemployed,High School,Single,2,Mortgage,48,8,0,1,1,266,3.95
71,23,Male,55488,78811,657,28878,12,5.67,Employed,PhD,Divorced,2,Rent,23,6,1,0,0,26,8.38
72,59,Male,94441,3461,487,40392,21,3.05,Self-Employed,High School,Divorced,4,Rent,20,9,1,0,1,60,2.66
73,21,Male,94663,15291,621,14531,28,13.4,Self-Employed,High School,Married,3,Mortgage,13,2,1,0,0,279,5.18
74,46,Female,42431,47804,749,15036,2,11.48,Unemployed,PhD,Single,0,Own,47,3,0,0,1,92,1.12
75,35,Female,81681,77971,773,946,4,5.92,Self-Employed,Bachelor,Married,3,Mortgage,44,9,1,1,0,133,5.34
76,43,Female,83483,94471,312,37183,17,9.79,Employed,Bachelor,Married,0,Rent,41,9,1,1,0,299,1.5
77,61,Female,142720,65946,483,49055,4,4.62,Employed,PhD,Single,3,Own,32,6,0,0,0,271,9.8
78,51,Male,69153,99989,410,18118,11,13.57,Unemployed,Bachelor,Married,1,Rent,26,3,1,0,1,58,8.12
79,27,Male,26368,85080,807,7087,22,3.49,Employed,Master,Widowed,3,Own,14,5,0,1,1,15,5.41
80,53,Female,47424,62332,589,31980,26,2.05,Employed,Master,Divorced,4,Rent,36,2,1,0,0,126,1.78
81,31,Male,132360,78794,594,33494,4,8.53,Employed,High School,Married,0,Mortgage,8,7,0,1,0,127,6.33
82,48,Female,65004,31841,750,21027,1,9.58,Employed,Bachelor,Single,2,Rent,40,8,0,0,0,272,7.83
83,65,Female,103869,49758,514,24069,7,9.53,Self-Employed,Master,Divorced,4,Rent,22,6,1,1,1,138,2.72
84,32,Female,108652,77272,326,11651,18,2.71,Employed,PhD,Divorced,0,Own,22,8,0,0,0,180,6.11
85,25,Male,132755,38643,530,6058,9,6.08,Unemployed,Bachelor,Married,0,Rent,16,2,1,1,1,36,8.33
86,31,Female,76985,51408,620,45239,29,8.49,Unemployed,Master,Widowed,2,Mortgage,27,3,0,1,0,208,7.91
87,40,Female,70069,44950,532,33454,3,4.82,Employed,Master,Married,1,Mortgage,10,7,1,1,1,106,8.23
88,57,Female,72326,57849,736,47948,8,13.34,Unemployed,PhD,Widowed,4,Mortgage,25,1,1,0,1,26,8.91
89,38,Male,128737,29044,832,47827,29,3.13,Employed,High School,Divorced,2,Own,31,7,0,1,1,182,9.44
90,33,Male,101061,16997,702,44337,24,8.34,Unemployed,PhD,Married,2,Own,21,6,1,1,0,110,4.65
91,62,Female,43398,80751,352,35803,19,10.99,Unemployed,High School,Single,1,Rent,27,8,1,0,1,195,6.12
92,35,Male,118393,99605,612,35200,4,5.4,Employed,Master,Married,4,Rent,17,7,1,0,0,193,8.12
93,64,Male,70861,24911,580,28000,18,10.12,Employed,High School,Widowed,2,Rent,33,4,0,0,1,224,7.27
94,41,Male,95897,56533,330,2532,20,12.78,Self-Employed,Master,Widowed,1,Own,31,3,0,0,0,260,9.96
95,43,Male,101905,83566,636,1752,27,4.47,Employed,Master,Married,4,Own,42,3,1,1,1,225,1.12
96,42,Male,147118,95870,482,6009,11,13.92,Employed,Bachelor,Widowed,3,Rent,26,4,1,0,1,38,4.2
97,62,Male,88577,15571,322,38342,27,9.2,Self-Employed,High School,Divorced,0,Own,21,9,0,0,0,111,3.53
98,58,Male,85641,95463,843,14400,14,5.89,Employed,High School,Married,1,Own,36,9,0,0,0,132,3.36
99,46,Male,29078,58941,745,15023,25,7.6,Employed,High School,Widowed,0,Mortgage,1,2,1,0,1,63,3
100,32,Male,45003,59005,373,2381,18,6.06,Self-Employed,PhD,Married,3,Mortgage,4,5,0,0,1,292,7.38
101,62,Male,82768,87250,309,33537,28,11.43,Employed,Bachelor,Married,2,Rent,4,1,0,0,0,111,1.76
102,18,Female,71047,59712,783,2130,28,12.35,Employed,Bachelor,Single,2,Rent,26,4,1,0,1,126,7.67
103,42,Female,91626,44541,755,21289,29,12.83,Self-Employed,Bachelor,Married,4,Mortgage,4,2,0,1,1,113,7.24
104,24,Male,77660,24387,459,23023,16,14.81,Self-Employed,PhD,Single,1,Own,49,8,0,1,0,54,3.26
105,26,Female,124386,94980,313,18458,3,12.29,Unemployed,High School,Widowed,1,Rent,9,4,0,1,0,123,3.28
106,41,Female,69786,49908,477,46651,15,9.82,Employed,High School,Single,4,Rent,30,5,1,1,0,40,6.66
107,18,Male,21925,86457,711,49420,27,6.41,Unemployed,High School,Single,0,Rent,45,4,0,1,1,173,7.86
108,61,Male,103976,14057,352,44352,27,9.08,Unemployed,Bachelor,Single,2,Own,4,5,1,0,1,198,8.89
109,25,Male,125221,65028,707,2195,4,2.53,Self-Employed,Bachelor,Divorced,2,Mortgage,5,5,0,0,1,204,8.67
110,41,Female,137832,56731,321,15321,5,11.68,Employed,Master,Single,1,Rent,45,5,0,0,0,270,9.68
111,28,Female,145150,25858,329,3762,17,7.8,Employed,PhD,Married,1,Mortgage,23,3,1,0,1,216,6.23
112,68,Male,46015,49689,559,1945,7,2.26,Self-Employed,PhD,Single,4,Mortgage,16,7,1,1,0,61,9.18
113,34,Male,53320,45638,504,16936,16,2.81,Unemployed,Bachelor,Married,3,Own,22,3,1,1,0,58,8.28
114,25,Male,84881,92598,358,10449,14,7.04,Self-Employed,Master,Single,0,Own,37,2,1,0,1,15,9.05
115,52,Female,110827,47486,770,24463,26,9.58,Employed,High School,Divorced,3,Own,8,3,0,0,0,233,1.1
116,52,Female,140071,21567,765,30432,16,8.03,Self-Employed,Bachelor,Widowed,3,Own,48,3,1,1,1,32,9.69
117,50,Female,122215,30739,311,7401,7,10.05,Employed,PhD,Single,1,Own,33,8,1,1,0,154,5.26
118,22,Female,46289,58804,589,33987,9,8.24,Unemployed,PhD,Single,1,Own,38,4,1,1,0,119,8.18
119,59,Male,148859,4754,653,9097,4,10.6,Employed,PhD,Divorced,1,Rent,43,3,0,0,0,221,2.14
120,56,Male,23389,28044,374,7355,22,4.85,Unemployed,High School,Single,3,Mortgage,16,5,0,0,1,50,4.56
121,58,Male,45683,68260,740,19178,11,3.47,Unemployed,PhD,Married,0,Own,5,4,1,1,0,181,3.44
122,45,Male,33629,67912,540,8763,2,9.75,Employed,High School,Single,1,Rent,16,9,1,1,1,195,3.62
123,24,Female,81550,9706,453,47788,12,8.3,Employed,High School,Single,2,Mortgage,7,8,1,0,0,223,2.11
124,26,Female,44826,9894,395,26305,12,2.35,Unemployed,High School,Widowed,0,Own,1,7,1,0,0,61,8.25
125,25,Male,120734,19037,593,26643,4,6.95,Self-Employed,Bachelor,Widowed,2,Own,9,8,0,0,0,79,1.08
126,29,Male,46630,84986,508,12374,18,3.38,Employed,High School,Single,0,Rent,18,5,1,0,1,205,3.81
127,51,Female,118762,82942,642,28029,26,8.91,Unemployed,Master,Divorced,1,Mortgage,45,4,0,1,1,160,2.57
128,50,Male,66163,52612,387,21366,21,7.15,Unemployed,PhD,Widowed,4,Own,47,7,1,1,1,118,6.3
129,65,Female,118511,30725,689,14579,7,9.97,Self-Employed,Bachelor,Single,1,Mortgage,3,1,1,1,1,127,3.29
130,40,Male,86435,6926,624,7743,29,12.47,Employed,PhD,Widowed,3,Rent,24,6,0,0,1,104,3.33
131,41,Male,31653,10496,456,30372,1,5.9,Unemployed,High School,Single,3,Own,28,8,1,0,0,265,5.4
132,54,Male,47961,57447,436,9518,26,14.51,Self-Employed,Bachelor,Widowed,0,Mortgage,10,7,1,0,0,53,6.87
133,52,Male,101941,30806,727,12600,26,8.96,Unemployed,Master,Widowed,3,Rent,9,2,1,1,1,76,2.09
134,61,Male,94137,89199,751,49959,23,10.04,Employed,High School,Married,1,Rent,13,7,1,1,1,165,2.58
135,57,Male,53662,42321,440,20300,26,10.85,Self-Employed,PhD,Single,2,Own,48,6,0,1,1,215,3.22
136,39,Male,118818,66095,382,27410,13,10.67,Unemployed,Master,Single,1,Mortgage,35,5,1,0,1,283,9.76
137,44,Female,76446,23656,476,29937,6,8.64,Self-Employed,High School,Single,0,Own,23,4,1,0,0,164,4.57
138,52,Female,41288,56147,497,38088,6,7.57,Employed,Master,Single,3,Own,47,1,0,1,1,188,6.39
139,18,Female,142555,92396,720,11501,12,2.7,Self-Employed,High School,Widowed,2,Mortgage,17,2,1,0,1,69,3.17
140,52,Female,115081,50666,700,47175,8,2.29,Employed,Bachelor,Married,4,Mortgage,46,7,0,1,1,83,5.41
141,54,Female,56877,83368,770,20442,24,6.65,Unemployed,High School,Married,2,Mortgage,7,3,1,1,1,58,1.67
142,64,Male,131562,39787,517,21362,22,6.34,Employed,Bachelor,Divorced,2,Rent,16,5,1,1,0,280,1.31
143,31,Male,35313,63946,474,12169,19,7.04,Unemployed,High School,Single,1,Rent,40,8,1,1,0,82,5.22
144,20,Female,100885,22727,322,16416,5,3.8,Unemployed,High School,Divorced,4,Mortgage,36,8,0,0,1,205,4.59
145,18,Male,92715,96081,534,11378,18,11.6,Employed,PhD,Widowed,0,Rent,20,6,0,0,0,188,2.23
146,22,Female,30326,69056,312,3485,5,13.14,Unemployed,Master,Divorced,0,Own,24,5,1,0,0,57,7.19
147,43,Female,130091,4081,400,32869,25,14.2,Self-Employed,Master,Single,2,Mortgage,47,2,0,0,1,81,9.94
148,31,Male,145836,35196,835,8612,10,8.4,Unemployed,Master,Married,2,Own,5,9,1,0,1,122,4.56
149,56,Male,21560,37735,822,41735,1,11.11,Employed,High School,Married,3,Mortgage,45,1,0,0,0,254,6.62
150,44,Male,99148,81102,751,19431,10,13.12,Self-Employed,High School,Single,4,Own,6,2,1,1,0,168,9.67
151,26,Female,103186,80578,730,27840,5,7.44,Self-Employed,High School,Widowed,2,Mortgage,28,1,0,0,0,283,8.48
152,32,Male,46745,26498,832,836,12,6.02,Unemployed,Bachelor,Single,3,Own,5,4,1,0,0,277,5.17
153,32,Female,51890,77865,592,43433,22,14.18,Unemployed,Bachelor,Widowed,4,Mortgage,49,4,0,0,0,39,7.64
154,43,Female,40022,32656,400,19863,27,8.7,Employed,PhD,Married,0,Mortgage,39,5,0,1,1,106,2.15
155,59,Female,143629,68695,801,46036,7,8.46,Self-Employed,High School,Widowed,3,Rent,38,5,0,0,0,260,5.61
156,30,Male,72579,38900,603,4468,9,4.32,Employed,Master,Single,4,Own,2,8,0,1,0,16,3.51
157,68,Male,90316,85899,839,34178,22,3.41,Unemployed,Master,Single,3,Rent,43,3,1,0,0,101,2.45
158,49,Female,103847,48701,654,48900,21,12.95,Self-Employed,PhD,Single,2,Own,39,6,1,0,0,122,4.84
159,56,Male,48380,20033,602,16779,12,9.98,Employed,Master,Widowed,1,Rent,21,3,0,0,0,268,2.18
160,66,Male,130198,11805,795,3629,23,6.24,Employed,PhD,Widowed,0,Mortgage,40,2,1,1,0,116,7.29
161,69,Male,22356,36851,526,38715,29,4.49,Employed,High School,Widowed,2,Rent,37,8,0,1,0,72,5.11
162,49,Female,90326,27832,535,39397,1,9.22,Employed,Master,Married,2,Rent,18,1,1,0,0,280,5.78
163,21,Female,112447,64437,754,6350,11,9.59,Employed,High School,Divorced,4,Mortgage,48,9,0,0,1,208,2.32
164,47,Male,134994,14944,312,21088,21,4.69,Self-Employed,Bachelor,Divorced,3,Rent,46,7,1,0,1,155,2.26
165,54,Female,109899,20873,509,40714,15,13.07,Employed,Master,Single,0,Mortgage,12,4,1,1,0,70,6.25
166,40,Male,40049,41372,696,12449,2,3.1,Self-Employed,Bachelor,Married,2,Own,17,3,0,1,1,129,9.87
167,56,Male,95717,90464,399,9019,20,6.63,Employed,Master,Widowed,4,Rent,37,6,0,0,1,70,1.87
168,62,Male,125361,16379,330,26875,7,10.84,Unemployed,High School,Single,0,Mortgage,46,9,0,1,1,35,3.57
169,32,Male,36082,37751,827,33582,21,5.56,Unemployed,PhD,Married,3,Mortgage,38,9,0,1,1,124,8.83
170,60,Female,20661,90822,628,12237,12,12.76,Employed,High School,Single,2,Rent,15,4,0,1,1,49,1.65
171,46,Female,57412,6110,465,1634,22,11.62,Unemployed,High School,Married,2,Own,7,5,1,1,1,125,8.88
172,53,Female,134015,55341,758,11438,18,12.26,Self-Employed,High School,Married,2,Rent,14,9,0,0,0,145,5.72
173,30,Male,143191,13087,399,24986,3,3.55,Employed,Master,Divorced,0,Mortgage,1,2,1,0,0,286,4.67
174,49,Male,22920,24762,472,48856,7,3.83,Self-Employed,PhD,Single,0,Own,38,2,0,1,1,30,3.79
175,24,Male,111194,83617,461,26596,11,5.72,Employed,Bachelor,Widowed,0,Rent,3,5,1,1,0,40,3.67
176,68,Female,134306,10596,562,41615,18,8.74,Unemployed,High School,Divorced,0,Mortgage,37,1,1,1,1,256,3.75
177,39,Male,80315,19313,573,6092,12,11.72,Self-Employed,Master,Divorced,4,Rent,44,8,0,0,0,36,8.96
178,45,Female,99561,67549,302,18608,6,12.87,Unemployed,Bachelor,Widowed,1,Own,31,5,0,0,0,82,7.51
179,19,Female,28946,24705,327,17770,5,11.16,Unemployed,High School,Married,4,Own,43,2,1,1,0,106,7.03
180,59,Female,114242,68364,625,28149,26,14.07,Employed,Bachelor,Widowed,2,Own,13,9,1,1,1,170,8.19
181,62,Female,65500,74445,448,11497,1,11.6,Self-Employed,High School,Single,4,Own,48,2,0,1,0,296,3.31
182,23,Female,124540,79645,839,33989,12,5.98,Unemployed,Bachelor,Widowed,3,Own,18,7,1,1,0,221,6.56
183,45,Female,36309,3023,787,9604,27,5.45,Employed,Bachelor,Married,0,Rent,17,8,1,0,1,85,5.14
184,45,Male,75230,60796,737,1370,26,11.05,Employed,PhD,Widowed,3,Own,17,6,1,0,1,152,8.04
185,61,Male,131822,81073,364,29184,11,4.51,Employed,PhD,Married,3,Own,11,7,1,0,0,43,3.78
186,61,Female,118656,93197,655,40019,4,3.21,Unemployed,High School,Married,2,Mortgage,20,1,1,0,1,13,6.79
187,37,Female,143782,65429,832,35024,27,8.92,Employed,Master,Single,0,Own,10,4,1,0,0,107,8.94
188,47,Male,50027,62627,551,31457,18,12.68,Self-Employed,PhD,Widowed,3,Mortgage,29,7,0,0,0,226,4.62
189,28,Female,146768,34848,534,34385,4,3.32,Self-Employed,Bachelor,Widowed,2,Mortgage,48,1,0,1,1,37,1.6
190,45,Female,92541,38804,526,44869,17,12.29,Unemployed,PhD,Single,0,Mortgage,34,1,0,1,1,210,5.64
191,42,Male,132340,16379,824,36096,2,12.55,Self-Employed,PhD,Married,1,Rent,17,6,0,0,0,282,4.11
192,56,Female,134846,60664,612,30366,29,8.27,Employed,High School,Widowed,2,Rent,42,4,1,0,1,136,7.05
193,50,Female,79321,28766,348,31176,24,2.75,Unemployed,PhD,Single,4,Mortgage,13,3,0,0,0,211,9.56
194,18,Female,20956,69099,417,48264,22,4.27,Employed,PhD,Married,0,Rent,44,5,1,1,1,18,5.37
195,44,Male,120375,37060,353,14378,2,11.2,Unemployed,Bachelor,Single,3,Own,47,9,1,1,1,296,5.2
196,69,Male,94131,95733,343,40260,12,11.25,Unemployed,PhD,Widowed,3,Rent,39,3,0,1,1,97,6.89
197,30,Male,67908,70122,352,28059,6,13.68,Employed,Bachelor,Single,4,Own,27,5,0,1,1,28,1.93
198,58,Female,98339,17087,824,47046,10,9.57,Self-Employed,PhD,Divorced,4,Own,26,5,1,0,1,90,3.28
199,20,Female,145659,49868,401,7271,25,3.61,Self-Employed,PhD,Married,3,Rent,28,9,0,1,0,116,9.27
200,56,Male,45963,24225,697,17026,23,3.58,Unemployed,Master,Divorced,0,Rent,13,4,0,0,0,239,7.03
201,23,Female,121757,96286,437,30396,25,11.37,Employed,PhD,Divorced,2,Mortgage,12,1,1,1,0,121,1.12
202,25,Female,59443,7643,686,32423,21,4.39,Employed,Bachelor,Married,4,Rent,44,5,1,1,1,229,2.84
203,44,Female,119259,94059,410,36703,23,6.27,Unemployed,Bachelor,Married,4,Rent,28,1,1,1,0,132,7.15
204,26,Female,59063,37727,316,39890,27,8.33,Self-Employed,High School,Single,4,Rent,2,6,1,1,0,253,7.88
205,54,Female,134225,12005,481,13352,16,2.32,Employed,High School,Married,1,Own,37,7,1,0,1,187,8.56
206,50,Male,136400,66697,835,48074,14,5.23,Self-Employed,Master,Divorced,0,Own,34,1,1,0,1,74,3.63
207,68,Female,100818,17029,840,43891,7,7.3,Self-Employed,Bachelor,Divorced,0,Own,23,4,0,0,1,12,9.38
208,59,Male,24703,15226,470,2348,28,5.64,Unemployed,Bachelor,Widowed,0,Mortgage,45,9,0,0,0,216,5.98
209,61,Female,85128,64646,708,31527,28,3.77,Unemployed,Bachelor,Married,0,Mortgage,29,1,0,0,0,30,7.27
210,41,Male,92099,61603,677,35964,19,11.46,Self-Employed,Master,Divorced,0,Mortgage,35,9,1,0,1,24,6.37
211,32,Female,45849,29731,487,34985,23,12.57,Employed,Bachelor,Widowed,3,Own,11,8,1,0,0,215,2.1
212,49,Male,51860,69926,529,19956,17,5.35,Employed,High School,Widowed,4,Rent,48,5,0,1,0,211,9.67
213,49,Female,51585,6997,418,9759,9,12.07,Unemployed,Master,Single,3,Mortgage,33,6,0,0,1,129,2.11
214,41,Male,42015,56506,455,36054,26,7.01,Self-Employed,High School,Divorced,1,Mortgage,11,7,0,1,0,146,3.29
215,58,Female,97539,79229,764,47422,13,8.59,Employed,High School,Single,2,Own,9,4,1,0,1,34,8.32
216,69,Male,63585,50815,403,13909,22,13.13,Employed,Master,Divorced,4,Mortgage,14,6,0,1,0,243,6.57
217,66,Female,46958,43092,801,4291,5,11.75,Unemployed,PhD,Single,1,Rent,9,7,0,0,1,130,8.54
218,66,Male,46017,63539,474,26364,23,12.47,Self-Employed,PhD,Single,3,Own,39,6,0,1,0,99,5.64
219,69,Male,96707,67077,720,37139,5,3.78,Employed,High School,Married,2,Own,48,6,1,0,0,209,4.39
220,29,Female,144677,22817,433,35074,10,2.91,Unemployed,PhD,Single,1,Rent,3,2,0,0,1,189,9.3
221,56,Female,65350,38861,690,18388,21,13.61,Employed,Bachelor,Married,2,Rent,29,5,0,0,1,85,1.33
222,19,Male,32201,14428,800,20192,27,7.04,Employed,Master,Widowed,1,Rent,19,3,1,0,1,146,8.71
223,20,Female,49426,44934,332,24001,10,5.74,Employed,High School,Divorced,3,Mortgage,36,7,1,1,1,147,3.08
224,66,Male,37778,11258,354,13804,27,11.42,Unemployed,Bachelor,Widowed,2,Rent,32,4,1,0,0,19,8.64
225,54,Male,65241,58775,818,28027,7,12.87,Self-Employed,PhD,Divorced,1,Own,7,1,1,0,1,210,2.25
226,66,Male,62229,82580,311,18574,26,13.21,Unemployed,Bachelor,Widowed,3,Rent,28,6,1,1,1,228,6.22
227,34,Female,106652,95947,827,16049,15,6.11,Self-Employed,PhD,Divorced,4,Own,44,6,0,0,1,69,8.99
228,66,Male,148267,6469,672,30463,7,13.08,Employed,High School,Single,3,Own,18,7,0,1,1,156,5.26
229,19,Male,138402,29854,783,26420,29,2.53,Self-Employed,Bachelor,Divorced,3,Mortgage,5,8,1,1,1,116,7.72
230,19,Female,68364,7256,527,31326,27,2.65,Employed,Master,Divorced,4,Rent,23,3,1,0,0,47,8.24
